reflection_choice,memory_component_choice,memory_source,forget_effect,sim_strategy,example_demo,gpt_type,student_id,transcript_id,sentence_id,user_gaze_aoi_id,user_gaze_aoi_center_tuple_x,user_gaze_aoi_center_tuple_y,user_motor_aoi_id,user_motor_aoi_center_tuple_x,user_motor_aoi_center_tuple_y,user_workload,user_curiosity,user_valid_focus,user_course_follow,user_engagement,user_confusion,agent_gaze_aoi_id,agent_gaze_aoi_center_tuple_x,agent_gaze_aoi_center_tuple_y,agent_motor_aoi_id,agent_motor_aoi_center_tuple_x,agent_motor_aoi_center_tuple_y,agent_workload,agent_curiosity,agent_valid_focus,agent_course_follow,agent_engagement,agent_confusion,gaze_aoi_accuracy,gaze_aoi_distance,motor_aoi_accuracy,motor_aoi_distance,workload_diff,curiosity_diff,valid_focus_diff,follow_ratio_diff,engagement_accuracy,confusion_accuracy
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,4,191,0.0,0,1.0,0.36115,0.1485,None,None,None,0.16,0.12,0.5,0.0,0.7,0.0,2.0,0.1425,0.5285,3.0,0.394,0.584,0.5,0.8,0.9,0.7,0.6,0.2,0,0.43841512576552377,None,None,0.33999999999999997,0.68,0.4,0.7,0.09999999999999998,0.2
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,4,191,0.0,1,4.0,0.63,0.585,None,None,None,0.2,0.12,0.75,0.17,0.92,0.0,2.0,0.1425,0.5285,3.0,0.394,0.584,0.3,0.7,0.8,0.9,0.8,0.1,0,0.4907631811780505,None,None,0.09999999999999998,0.58,0.050000000000000044,0.73,0.12,0.1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,4,191,0.0,2,1.0,0.36115,0.1485,None,None,None,0.09,0.2,0.78,0.0,1.0,0.0,2.0,0.1425,0.5285,3.0,0.394,0.584,0.6,0.5,0.6,0.7,0.5,0.4,0,0.43841512576552377,None,None,0.51,0.3,0.18000000000000005,0.7,0.5,0.4
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,4,191,1.0,3,10.0,0.8200000000000001,0.4349999999999999,None,None,None,0.11,0.06,0.5,0.0,1.0,0.0,2.0,0.187,0.433,3.0,0.1755,0.7075,0.7,0.8,0.9,0.9,0.7,0.2,0,0.6330031595497767,None,None,0.59,0.74,0.4,0.9,0.30000000000000004,0.2
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,4,191,1.0,4,3.0,0.1755,0.7075,None,None,None,0.1,0.04,0.4,0.27,1.0,0.0,2.0,0.187,0.433,3.0,0.1755,0.7075,0.6,0.7,0.8,0.8,0.6,0.1,0,0.27474078692469384,None,None,0.5,0.6599999999999999,0.4,0.53,0.4,0.1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,4,191,1.0,5,6.0,0.502,0.4329999999999999,6.0,0.502,0.4329999999999999,0.35,0.35,1.0,0.33,1.0,0.0,2.0,0.187,0.433,3.0,0.1755,0.7075,0.5,0.5,0.6,0.7,0.5,0.4,0,0.315,0,0.4265589056625123,0.15000000000000002,0.15000000000000002,0.4,0.36999999999999994,0.5,0.4
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,4,191,1.0,6,1.0,0.3635,0.149,6.0,0.502,0.4329999999999999,0.38,0.19,1.0,0.0,1.0,0.0,2.0,0.187,0.433,3.0,0.1755,0.7075,0.8,0.9,0.7,0.6,0.8,0.2,0,0.33437740653339604,0,0.4265589056625123,0.42000000000000004,0.71,0.30000000000000004,0.6,0.19999999999999996,0.2
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,4,191,1.0,7,12.0,0.5021,0.5934999999999999,None,None,None,0.51,0.34,1.0,0.0,1.0,0.0,2.0,0.187,0.433,3.0,0.1755,0.7075,0.6,0.7,0.8,0.8,0.6,0.1,0,0.3536216339535803,None,None,0.08999999999999997,0.35999999999999993,0.19999999999999996,0.8,0.4,0.1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,4,191,1.0,8,2.0,0.187,0.4329999999999999,None,None,None,0.38,0.21,0.83,0.0,1.0,0.0,2.0,0.187,0.433,3.0,0.1755,0.7075,0.5,0.5,0.6,0.7,0.5,0.4,1,1.1102230246251565e-16,None,None,0.12,0.29000000000000004,0.22999999999999998,0.7,0.5,0.4
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,4,191,1.0,9,1.0,0.3635,0.149,None,None,None,0.15,0.04,0.8,0.0,1.0,0.0,2.0,0.187,0.433,3.0,0.1755,0.7075,0.8,0.9,0.7,0.6,0.8,0.2,0,0.33437740653339604,None,None,0.65,0.86,0.10000000000000009,0.6,0.19999999999999996,0.2
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,4,191,1.0,10,2.0,0.187,0.4329999999999999,None,None,None,0.2,0.12,0.56,0.11,1.0,0.0,2.0,0.187,0.433,3.0,0.1755,0.7075,0.6,0.7,0.8,0.8,0.6,0.1,1,1.1102230246251565e-16,None,None,0.39999999999999997,0.58,0.24,0.6900000000000001,0.4,0.1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,4,191,1.0,11,3.0,0.1755,0.7075,None,None,None,0.07,0.08,0.43,0.0,1.0,0.0,2.0,0.187,0.433,3.0,0.1755,0.7075,0.5,0.5,0.6,0.7,0.5,0.4,0,0.27474078692469384,None,None,0.43,0.42,0.16999999999999998,0.7,0.5,0.4
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,4,191,1.0,12,3.0,0.1755,0.7075,None,None,None,0.33,0.29,0.88,0.0,1.0,0.0,2.0,0.187,0.433,3.0,0.1755,0.7075,0.8,0.9,0.7,0.6,0.8,0.2,0,0.27474078692469384,None,None,0.47000000000000003,0.6100000000000001,0.18000000000000005,0.6,0.19999999999999996,0.2
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,4,191,1.0,13,3.0,0.1755,0.7075,None,None,None,0.62,0.33,0.88,0.0,1.0,0.0,2.0,0.187,0.433,3.0,0.1755,0.7075,0.6,0.7,0.8,0.8,0.6,0.1,0,0.27474078692469384,None,None,0.020000000000000018,0.36999999999999994,0.07999999999999996,0.8,0.4,0.1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,4,191,1.0,14,3.0,0.1755,0.7075,None,None,None,0.47,0.28,1.0,0.17,1.0,0.0,2.0,0.187,0.433,3.0,0.1755,0.7075,0.5,0.5,0.6,0.7,0.5,0.4,0,0.27474078692469384,None,None,0.030000000000000027,0.21999999999999997,0.4,0.5299999999999999,0.5,0.4
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,4,191,1.0,15,2.0,0.187,0.4329999999999999,None,None,None,0.35,0.19,0.91,0.18,1.0,0.0,2.0,0.187,0.433,3.0,0.1755,0.7075,0.8,0.9,0.7,0.6,0.8,0.2,1,1.1102230246251565e-16,None,None,0.45000000000000007,0.71,0.21000000000000008,0.42,0.19999999999999996,0.2
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,4,191,1.0,16,3.0,0.1755,0.7075,None,None,None,0.27,0.42,0.91,0.09,1.0,0.0,2.0,0.187,0.433,3.0,0.1755,0.7075,0.6,0.7,0.8,0.8,0.6,0.1,0,0.27474078692469384,None,None,0.32999999999999996,0.27999999999999997,0.10999999999999999,0.7100000000000001,0.4,0.1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,4,191,1.0,17,10.0,0.8200000000000001,0.4349999999999999,None,None,None,0.36,0.19,0.82,0.0,1.0,0.0,2.0,0.187,0.433,3.0,0.1755,0.7075,0.5,0.5,0.6,0.7,0.5,0.4,0,0.6330031595497767,None,None,0.14,0.31,0.21999999999999997,0.7,0.5,0.4
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,4,191,1.0,18,7.0,0.505,0.72,None,None,None,0.46,0.32,0.9,0.3,1.0,0.0,2.0,0.187,0.433,3.0,0.1755,0.7075,0.8,0.9,0.7,0.6,0.8,0.2,0,0.4283608292082739,None,None,0.34,0.5800000000000001,0.20000000000000007,0.3,0.19999999999999996,0.2
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,4,191,1.0,19,1.0,0.3635,0.149,None,None,None,0.37,0.25,1.0,0.09,1.0,0.0,2.0,0.187,0.433,3.0,0.1755,0.7075,0.6,0.7,0.8,0.8,0.6,0.1,0,0.33437740653339604,None,None,0.22999999999999998,0.44999999999999996,0.19999999999999996,0.7100000000000001,0.4,0.1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,4,191,1.0,20,4.0,0.346,0.7505,None,None,None,0.33,0.23,0.82,0.18,1.0,0.0,2.0,0.187,0.433,3.0,0.1755,0.7075,0.5,0.5,0.6,0.7,0.5,0.4,0,0.3550876652321226,None,None,0.16999999999999998,0.27,0.21999999999999997,0.52,0.5,0.4
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,4,191,1.0,21,11.0,0.825,0.6930000000000001,3.0,0.1755,0.7075,0.23,0.13,0.82,0.09,1.0,0.0,2.0,0.187,0.433,3.0,0.1755,0.7075,0.8,0.9,0.7,0.6,0.8,0.2,0,0.6889441196497724,1,0.0,0.5700000000000001,0.77,0.12,0.51,0.19999999999999996,0.2
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,4,191,1.0,22,8.0,0.6599999999999999,0.7515000000000001,None,None,None,0.09,0.05,0.6,0.2,1.0,0.0,2.0,0.187,0.433,3.0,0.1755,0.7075,0.6,0.7,0.8,0.8,0.6,0.1,0,0.5702378889551272,None,None,0.51,0.6499999999999999,0.20000000000000007,0.6000000000000001,0.4,0.1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,4,191,1.0,23,8.0,0.6599999999999999,0.7515000000000001,None,None,None,0.31,0.17,0.83,0.17,1.0,0.0,2.0,0.187,0.433,3.0,0.1755,0.7075,0.5,0.5,0.6,0.7,0.5,0.4,0,0.5702378889551272,None,None,0.19,0.32999999999999996,0.22999999999999998,0.5299999999999999,0.5,0.4
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,4,191,1.0,24,4.0,0.346,0.7505,None,None,None,0.44,0.41,1.0,0.0,1.0,0.0,2.0,0.187,0.433,3.0,0.1755,0.7075,0.8,0.9,0.7,0.6,0.8,0.2,0,0.3550876652321226,None,None,0.36000000000000004,0.49000000000000005,0.30000000000000004,0.6,0.19999999999999996,0.2
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,4,191,1.0,25,4.0,0.346,0.7505,None,None,None,0.39,0.35,0.92,0.25,1.0,0.0,2.0,0.187,0.433,3.0,0.1755,0.7075,0.7,0.7,0.8,0.8,0.7,0.1,0,0.3550876652321226,None,None,0.30999999999999994,0.35,0.12,0.55,0.30000000000000004,0.1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,4,191,2.0,26,4.0,0.737,0.5345,None,None,None,0.21,0.11,0.5,0.0,1.0,0.0,2.0,0.2635,0.41,3.0,0.2665,0.6625,0.8,0.7,0.9,0.8,0.8,0.1,0,0.48959421973712064,None,None,0.5900000000000001,0.59,0.4,0.8,0.19999999999999996,0.1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,4,191,2.0,27,1.0,0.3625,0.146,None,None,None,0.35,0.24,1.0,0.33,1.0,0.0,2.0,0.2635,0.41,3.0,0.2665,0.6625,0.8,0.7,0.9,0.8,0.8,0.1,0,0.2819521235954785,None,None,0.45000000000000007,0.45999999999999996,0.09999999999999998,0.47000000000000003,0.19999999999999996,0.1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,4,191,2.0,28,4.0,0.737,0.5345,None,None,None,0.25,0.08,0.62,0.0,1.0,0.0,2.0,0.2635,0.41,3.0,0.2665,0.6625,0.8,0.7,0.9,0.8,0.8,0.1,0,0.48959421973712064,None,None,0.55,0.62,0.28,0.8,0.19999999999999996,0.1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,4,191,2.0,29,4.0,0.737,0.5345,None,None,None,0.08,0.24,1.0,0.0,1.0,0.0,2.0,0.2635,0.41,3.0,0.2665,0.6625,0.8,0.7,0.9,0.8,0.8,0.1,0,0.48959421973712064,None,None,0.7200000000000001,0.45999999999999996,0.09999999999999998,0.8,0.19999999999999996,0.1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,4,191,2.0,30,4.0,0.737,0.5345,None,None,None,0.11,0.29,0.75,0.0,1.0,0.0,2.0,0.2635,0.41,3.0,0.2665,0.6625,0.8,0.7,0.9,0.8,0.8,0.1,0,0.48959421973712064,None,None,0.6900000000000001,0.41,0.15000000000000002,0.8,0.19999999999999996,0.1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,4,191,2.0,31,4.0,0.737,0.5345,None,None,None,0.09,0.12,0.56,0.56,1.0,0.0,2.0,0.2635,0.41,3.0,0.2665,0.6625,0.8,0.7,0.9,0.8,0.8,0.1,0,0.48959421973712064,None,None,0.7100000000000001,0.58,0.33999999999999997,0.24,0.19999999999999996,0.1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,4,191,3.0,32,None,None,None,None,None,None,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.136,0.336,3.0,0.404,0.44,0.7,0.8,0.9,0.8,0.8,0.1,None,None,None,None,0.7,0.8,0.9,0.8,0.19999999999999996,0.1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,4,191,3.0,33,3.0,0.404,0.44,None,None,None,0.07,0.12,0.5,0.25,1.0,0.0,2.0,0.136,0.336,3.0,0.404,0.44,0.7,0.8,0.9,0.8,0.8,0.1,0,0.2874717377412952,None,None,0.6299999999999999,0.68,0.4,0.55,0.19999999999999996,0.1
