reflection_choice,memory_component_choice,memory_source,forget_effect,sim_strategy,example_demo,gpt_type,student_id,transcript_id,sentence_id,user_gaze_aoi_id,user_gaze_aoi_center_tuple_x,user_gaze_aoi_center_tuple_y,user_motor_aoi_id,user_motor_aoi_center_tuple_x,user_motor_aoi_center_tuple_y,user_workload,user_curiosity,user_valid_focus,user_course_follow,user_engagement,user_confusion,agent_gaze_aoi_id,agent_gaze_aoi_center_tuple_x,agent_gaze_aoi_center_tuple_y,agent_motor_aoi_id,agent_motor_aoi_center_tuple_x,agent_motor_aoi_center_tuple_y,agent_workload,agent_curiosity,agent_valid_focus,agent_course_follow,agent_engagement,agent_confusion,gaze_aoi_accuracy,gaze_aoi_distance,motor_aoi_accuracy,motor_aoi_distance,workload_diff,curiosity_diff,valid_focus_diff,follow_ratio_diff,engagement_accuracy,confusion_accuracy
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,2,368,0.0,0,1.0,0.2975,0.142,None,None,None,0.27,0.58,1.0,1.0,1.0,0.0,2.0,0.4775,0.295,1.0,0.2975,0.142,0.3,0.5,0.6,0.4,0.7,0.2,0,0.23623928547132036,None,None,0.02999999999999997,0.07999999999999996,0.4,0.6,0.30000000000000004,0.2
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,2,368,0.0,1,4.0,0.205,0.74,None,None,None,0.23,0.3,0.82,0.82,1.0,0.0,2.0,0.4775,0.295,2.0,0.4775,0.295,0.4,0.6,0.7,0.5,0.8,0.3,0,0.5218057588796812,None,None,0.17,0.3,0.12,0.31999999999999995,0.19999999999999996,0.3
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,2,368,0.0,2,3.0,0.4225,0.46,3.0,0.4225,0.46,0.41,0.43,0.83,0.83,1.0,0.0,3.0,0.4225,0.46,3.0,0.4225,0.46,0.3,0.4,0.5,0.3,0.6,0.2,1,0.0,1,0.0,0.10999999999999999,0.02999999999999997,0.32999999999999996,0.53,0.4,0.2
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,2,368,0.0,3,1.0,0.2975,0.142,1.0,0.2975,0.142,0.56,0.31,1.0,1.0,1.0,0.0,3.0,0.4225,0.46,4.0,0.205,0.74,0.5,0.7,0.6,0.4,0.8,0.3,0,0.3416855279346786,0,0.6051117665357367,0.06000000000000005,0.38999999999999996,0.4,0.6,0.19999999999999996,0.3
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,2,368,0.0,4,2.0,0.4775,0.295,2.0,0.4775,0.295,0.47,0.14,1.0,0.75,1.0,0.0,4.0,0.205,0.74,5.0,0.5,0.78,0.3,0.4,0.5,0.3,0.6,0.2,0,0.5218057588796812,0,0.4855216267067823,0.16999999999999998,0.26,0.5,0.45,0.4,0.2
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,2,368,0.0,5,3.0,0.4225,0.46,3.0,0.4225,0.46,0.66,0.46,1.0,0.0,1.0,0.0,5.0,0.5,0.78,6.0,0.78,0.77,0.4,0.6,0.7,0.5,0.8,0.3,0,0.3292510440378284,0,0.4731873307686925,0.26,0.13999999999999996,0.30000000000000004,0.5,0.19999999999999996,0.3
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,2,368,0.0,6,2.0,0.4775,0.295,5.0,0.5,0.78,0.64,0.65,1.0,0.27,1.0,0.0,6.0,0.78,0.77,6.0,0.78,0.77,0.5,0.7,0.6,0.4,0.8,0.3,0,0.563144075703545,0,0.280178514522438,0.14,0.04999999999999993,0.4,0.13,0.19999999999999996,0.3
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,2,368,0.0,7,3.0,0.4225,0.46,3.0,0.4225,0.46,0.51,0.45,1.0,0.89,1.0,0.11,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,2,368,0.0,8,2.0,0.4775,0.295,3.0,0.4225,0.46,0.52,0.29,1.0,0.75,1.0,0.08,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,2,368,0.0,9,6.0,0.78,0.77,3.0,0.4225,0.46,0.56,0.33,0.9,0.2,1.0,0.1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,2,368,1.0,10,1.0,0.3,0.148,1.0,0.3,0.148,0.32,0.16,1.0,0.57,1.0,0.57,2.0,0.457,0.34,1.0,0.3,0.148,0.4,0.6,0.5,0.4,0.8,0.3,0,0.24801814449753476,1,0.0,0.08000000000000002,0.43999999999999995,0.5,0.16999999999999993,0.19999999999999996,0.26999999999999996
