reflection_choice,memory_component_choice,memory_source,forget_effect,sim_strategy,example_demo,gpt_type,student_id,transcript_id,sentence_id,user_gaze_aoi_id,user_gaze_aoi_center_tuple_x,user_gaze_aoi_center_tuple_y,user_motor_aoi_id,user_motor_aoi_center_tuple_x,user_motor_aoi_center_tuple_y,user_workload,user_curiosity,user_valid_focus,user_course_follow,user_engagement,user_confusion,agent_gaze_aoi_id,agent_gaze_aoi_center_tuple_x,agent_gaze_aoi_center_tuple_y,agent_motor_aoi_id,agent_motor_aoi_center_tuple_x,agent_motor_aoi_center_tuple_y,agent_workload,agent_curiosity,agent_valid_focus,agent_course_follow,agent_engagement,agent_confusion,gaze_aoi_accuracy,gaze_aoi_distance,motor_aoi_accuracy,motor_aoi_distance,workload_diff,curiosity_diff,valid_focus_diff,follow_ratio_diff,engagement_accuracy,confusion_accuracy
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,3,142,0.0,0,3.0,0.394,0.584,None,None,None,0.17,0.29,1.0,0.0,1.0,0.0,2.0,0.1425,0.5285,None,None,None,0.4,0.6,0.5,0.7,0.65,0.3,0,0.25755096583006637,None,None,0.23,0.31,0.5,0.7,0.35,0.3
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,3,142,0.0,1,1.0,0.36115,0.1485,None,None,None,0.24,0.35,1.0,0.25,1.0,0.0,3.0,0.394,0.584,None,None,None,0.35,0.65,0.55,0.75,0.7,0.25,0,0.4367371892797773,None,None,0.10999999999999999,0.30000000000000004,0.44999999999999996,0.5,0.30000000000000004,0.25
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,3,142,0.0,2,1.0,0.36115,0.1485,None,None,None,0.15,0.23,0.89,0.33,1.0,0.0,4.0,0.63,0.585,None,None,None,0.3,0.7,0.6,0.8,0.75,0.2,0,0.5126524870709203,None,None,0.15,0.47,0.29000000000000004,0.47000000000000003,0.25,0.2
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,3,142,1.0,3,8.0,0.6599999999999999,0.7515000000000001,None,None,None,0.13,0.07,0.5,0.0,1.0,0.0,2.0,0.187,0.433,None,None,None,0.2,0.3,1.0,0.25,1.0,0.0,0,0.5702378889551272,None,None,0.07,0.22999999999999998,0.5,0.25,0.0,0.0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,3,142,1.0,4,2.0,0.187,0.4329999999999999,6.0,0.502,0.4329999999999999,0.53,0.27,0.93,0.33,1.0,0.0,1.0,0.3635,0.149,1.0,0.3635,0.149,0.25,0.35,1.0,0.3,1.0,0.0,0,0.3343774065333959,0,0.31597191330876223,0.28,0.07999999999999996,0.06999999999999995,0.030000000000000027,0.0,0.0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,3,142,1.0,5,1.0,0.3635,0.149,None,None,None,0.25,0.09,0.67,0.33,1.0,0.0,3.0,0.1755,0.7075,None,None,None,0.22,0.28,1.0,0.4,1.0,0.0,0,0.5892930086128632,None,None,0.03,0.19000000000000003,0.32999999999999996,0.07,0.0,0.0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,3,142,1.0,6,2.0,0.187,0.4329999999999999,None,None,None,0.55,0.36,1.0,0.08,1.0,0.0,5.0,0.345,0.495,None,None,None,0.3,0.25,0.95,0.35,1.0,0.0,0,0.16972919607421702,None,None,0.25000000000000006,0.10999999999999999,0.050000000000000044,0.26999999999999996,0.0,0.0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,3,142,1.0,7,2.0,0.187,0.4329999999999999,None,None,None,0.54,0.43,1.0,0.17,1.0,0.0,4.0,0.346,0.7505,None,None,None,0.18,0.22,0.9,0.3,1.0,0.0,0,0.3550876652321227,None,None,0.36000000000000004,0.21,0.09999999999999998,0.12999999999999998,0.0,0.0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,3,142,1.0,8,1.0,0.3635,0.149,None,None,None,0.25,0.11,0.83,0.17,1.0,0.0,6.0,0.502,0.433,None,None,None,0.2,0.3,0.85,0.3,1.0,0.0,0,0.31597191330876234,None,None,0.04999999999999999,0.19,0.020000000000000018,0.12999999999999998,0.0,0.0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,3,142,1.0,9,2.0,0.187,0.4329999999999999,None,None,None,0.33,0.17,0.8,0.0,1.0,0.0,7.0,0.505,0.72,None,None,None,0.25,0.27,0.8,0.3,1.0,0.0,0,0.428360829208274,None,None,0.08000000000000002,0.1,0.0,0.3,0.0,0.0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,3,142,1.0,10,1.0,0.3635,0.149,None,None,None,0.22,0.11,0.67,0.0,1.0,0.0,8.0,0.66,0.7515,None,None,None,0.22,0.26,0.85,0.3,1.0,0.0,0,0.6715046537441122,None,None,0.0,0.15000000000000002,0.17999999999999994,0.3,0.0,0.0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,3,142,1.0,11,1.0,0.3635,0.149,None,None,None,0.14,0.09,0.86,0.0,1.0,0.0,9.0,0.66,0.495,None,None,None,0.19,0.25,0.9,0.3,1.0,0.0,0,0.4556624298754507,None,None,0.04999999999999999,0.16,0.040000000000000036,0.3,0.0,0.0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,3,142,1.0,12,2.0,0.187,0.4329999999999999,None,None,None,0.27,0.09,0.75,0.0,1.0,0.0,10.0,0.82,0.435,None,None,None,0.2,0.28,0.9,0.3,1.0,0.0,0,0.6330031595497767,None,None,0.07,0.19000000000000003,0.15000000000000002,0.3,0.0,0.0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,3,142,1.0,13,1.0,0.3635,0.149,None,None,None,0.06,0.01,0.62,0.0,1.0,0.0,11.0,0.825,0.693,None,None,None,0.22,0.3,0.85,0.3,1.0,0.0,0,0.7133850643236092,None,None,0.16,0.29,0.22999999999999998,0.3,0.0,0.0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,3,142,1.0,14,2.0,0.187,0.4329999999999999,None,None,None,0.36,0.15,1.0,0.0,1.0,0.0,12.0,0.5021,0.5935,None,None,None,0.25,0.27,0.8,0.3,1.0,0.0,0,0.3536216339535805,None,None,0.10999999999999999,0.12000000000000002,0.19999999999999996,0.3,0.0,0.0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,3,142,1.0,15,2.0,0.187,0.4329999999999999,None,None,None,0.21,0.07,0.82,0.0,1.0,0.0,12.0,0.5021,0.5935,None,None,None,0.23,0.26,0.85,0.3,1.0,0.0,0,0.3536216339535805,None,None,0.020000000000000018,0.19,0.030000000000000027,0.3,0.0,0.0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,3,142,1.0,16,1.0,0.3635,0.149,None,None,None,0.54,0.26,0.91,0.18,1.0,0.0,12.0,0.5021,0.5935,None,None,None,0.3,0.25,0.9,0.3,1.0,0.0,0,0.4656073560415471,None,None,0.24000000000000005,0.010000000000000009,0.010000000000000009,0.12,0.0,0.0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,3,142,1.0,17,1.0,0.3635,0.149,None,None,None,0.47,0.19,0.91,0.0,1.0,0.0,12.0,0.5021,0.5935,None,None,None,0.25,0.28,0.85,0.3,1.0,0.0,0,0.4656073560415471,None,None,0.21999999999999997,0.09000000000000002,0.06000000000000005,0.3,0.0,0.0
