reflection_choice,memory_component_choice,memory_source,forget_effect,sim_strategy,example_demo,gpt_type,student_id,transcript_id,sentence_id,user_gaze_aoi_id,user_gaze_aoi_center_tuple_x,user_gaze_aoi_center_tuple_y,user_motor_aoi_id,user_motor_aoi_center_tuple_x,user_motor_aoi_center_tuple_y,user_workload,user_curiosity,user_valid_focus,user_course_follow,user_engagement,user_confusion,agent_gaze_aoi_id,agent_gaze_aoi_center_tuple_x,agent_gaze_aoi_center_tuple_y,agent_motor_aoi_id,agent_motor_aoi_center_tuple_x,agent_motor_aoi_center_tuple_y,agent_workload,agent_curiosity,agent_valid_focus,agent_course_follow,agent_engagement,agent_confusion,gaze_aoi_accuracy,gaze_aoi_distance,motor_aoi_accuracy,motor_aoi_distance,workload_diff,curiosity_diff,valid_focus_diff,follow_ratio_diff,engagement_accuracy,confusion_accuracy
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,593,0.0,0,2.0,0.495,0.299,None,None,None,0.18,0.18,0.6,0.0,1.0,0.0,1.0,0.275,0.15,3.0,0.163,0.645,0.15,0.8,0.7,0.95,0.85,0.05,0,0.26570848687988874,None,None,0.03,0.6200000000000001,0.09999999999999998,0.95,0.15000000000000002,0.05
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,593,0.0,1,2.0,0.495,0.299,None,None,None,0.24,0.29,1.0,0.5,1.0,0.0,1.0,0.275,0.15,2.0,0.495,0.299,0.15,0.8,0.85,0.95,0.85,0.05,0,0.26570848687988874,None,None,0.09,0.51,0.15000000000000002,0.44999999999999996,0.15000000000000002,0.05
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,593,0.0,2,4.0,0.495,0.63,None,None,None,0.24,0.2,0.83,0.0,1.0,0.0,3.0,0.163,0.645,3.0,0.163,0.645,0.15,0.8,0.85,0.95,0.85,0.05,0,0.33233868267175876,None,None,0.09,0.6000000000000001,0.020000000000000018,0.95,0.15000000000000002,0.05
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,593,0.0,3,4.0,0.495,0.63,None,None,None,0.2,0.26,0.83,0.33,1.0,0.0,3.0,0.163,0.645,3.0,0.163,0.645,0.15,0.8,0.85,0.95,0.85,0.05,0,0.33233868267175876,None,None,0.05000000000000002,0.54,0.020000000000000018,0.6199999999999999,0.15000000000000002,0.05
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,593,0.0,4,1.0,0.275,0.15,None,None,None,0.17,0.12,0.77,0.0,1.0,0.0,4.0,0.495,0.63,4.0,0.495,0.63,0.2,0.75,0.85,0.95,0.85,0.1,0,0.5280151512977634,None,None,0.03,0.63,0.07999999999999996,0.95,0.15000000000000002,0.1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,593,0.0,5,3.0,0.163,0.645,None,None,None,0.11,0.17,0.5,0.25,1.0,0.0,5.0,0.605,0.91,5.0,0.605,0.91,0.2,0.75,0.85,0.95,0.85,0.1,0,0.5153532768887765,None,None,0.09000000000000001,0.58,0.35,0.7,0.15000000000000002,0.1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,593,0.0,6,1.0,0.275,0.15,4.0,0.495,0.63,0.28,0.31,1.0,0.62,1.0,0.0,3.0,0.163,0.645,3.0,0.163,0.645,0.2,0.75,0.85,0.95,0.85,0.1,0,0.5075125614208973,0,0.33233868267175876,0.08000000000000002,0.44,0.15000000000000002,0.32999999999999996,0.15000000000000002,0.1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,593,0.0,7,1.0,0.275,0.15,None,None,None,0.25,0.09,1.0,0.2,1.0,0.0,3.0,0.163,0.645,3.0,0.163,0.645,0.2,0.75,0.85,0.95,0.85,0.1,0,0.5075125614208973,None,None,0.04999999999999999,0.66,0.15000000000000002,0.75,0.15000000000000002,0.1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,593,0.0,8,1.0,0.275,0.15,None,None,None,0.31,0.13,0.91,0.18,1.0,0.0,3.0,0.163,0.645,3.0,0.163,0.645,0.2,0.75,0.85,0.95,0.85,0.1,0,0.5075125614208973,None,None,0.10999999999999999,0.62,0.06000000000000005,0.77,0.15000000000000002,0.1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,593,0.0,9,3.0,0.163,0.645,None,None,None,0.41,0.25,0.92,0.62,1.0,0.0,6.0,0.735,0.53,6.0,0.735,0.53,0.25,0.7,0.85,0.95,0.85,0.15,0,0.5834457986822769,None,None,0.15999999999999998,0.44999999999999996,0.07000000000000006,0.32999999999999996,0.15000000000000002,0.15
