reflection_choice,memory_component_choice,memory_source,forget_effect,sim_strategy,example_demo,gpt_type,student_id,transcript_id,sentence_id,user_gaze_aoi_id,user_gaze_aoi_center_tuple_x,user_gaze_aoi_center_tuple_y,user_motor_aoi_id,user_motor_aoi_center_tuple_x,user_motor_aoi_center_tuple_y,user_workload,user_curiosity,user_valid_focus,user_course_follow,user_engagement,user_confusion,agent_gaze_aoi_id,agent_gaze_aoi_center_tuple_x,agent_gaze_aoi_center_tuple_y,agent_motor_aoi_id,agent_motor_aoi_center_tuple_x,agent_motor_aoi_center_tuple_y,agent_workload,agent_curiosity,agent_valid_focus,agent_course_follow,agent_engagement,agent_confusion,gaze_aoi_accuracy,gaze_aoi_distance,motor_aoi_accuracy,motor_aoi_distance,workload_diff,curiosity_diff,valid_focus_diff,follow_ratio_diff,engagement_accuracy,confusion_accuracy
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,815,0.0,0,3.0,0.495,0.575,None,None,None,0.21,0.24,0.83,0.0,1.0,0.0,1.0,0.2,0.15,None,None,None,0.5,0.7,0.3,0.9,0.8,0.2,0,0.5173490117899134,None,None,0.29000000000000004,0.45999999999999996,0.53,0.9,0.19999999999999996,0.2
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,815,0.0,1,1.0,0.1999999999999999,0.15,None,None,None,0.14,0.15,0.64,0.0,1.0,0.0,2.0,0.182,0.575,None,None,None,0.3,0.6,0.8,0.9,0.7,0.1,0,0.4253810056878421,None,None,0.15999999999999998,0.44999999999999996,0.16000000000000003,0.9,0.30000000000000004,0.1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,815,0.0,2,3.0,0.495,0.575,None,None,None,0.15,0.15,0.67,0.33,1.0,0.0,3.0,0.495,0.575,None,None,None,0.4,0.8,0.7,0.9,0.8,0.2,1,0.0,None,None,0.25,0.65,0.029999999999999916,0.5700000000000001,0.19999999999999996,0.2
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,815,0.0,3,2.0,0.182,0.575,3.0,0.495,0.575,0.38,0.4,1.0,0.33,1.0,0.0,4.0,0.81,0.5715,4.0,0.81,0.5715,0.2,0.5,0.9,0.9,0.6,0.1,0,0.6280097531089784,0,0.3150194438443444,0.18,0.09999999999999998,0.09999999999999998,0.5700000000000001,0.4,0.1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,815,0.0,4,3.0,0.495,0.575,3.0,0.495,0.575,0.29,0.23,1.0,0.0,1.0,0.0,1.0,0.2,0.15,1.0,0.2,0.15,0.5,0.7,0.7,0.8,0.7,0.2,0,0.5173490117899134,0,0.5173490117899134,0.21000000000000002,0.47,0.30000000000000004,0.8,0.30000000000000004,0.2
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,815,0.0,5,3.0,0.495,0.575,3.0,0.495,0.575,0.31,0.15,0.86,0.0,1.0,0.0,2.0,0.182,0.575,2.0,0.182,0.575,0.3,0.6,0.9,0.9,0.8,0.1,0,0.313,0,0.313,0.010000000000000009,0.44999999999999996,0.040000000000000036,0.9,0.19999999999999996,0.1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,815,0.0,6,2.0,0.182,0.575,3.0,0.495,0.575,0.27,0.13,0.78,0.0,1.0,0.0,3.0,0.495,0.575,3.0,0.495,0.575,0.4,0.8,0.8,0.9,0.8,0.2,0,0.313,1,0.0,0.13,0.67,0.020000000000000018,0.9,0.19999999999999996,0.2
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,815,1.0,7,None,None,None,None,None,None,0.07,0.05,0.33,0.0,1.0,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,815,1.0,8,4.0,0.2425,0.747,None,None,None,0.08,0.03,0.33,0.0,1.0,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,815,1.0,9,2.0,0.25,0.42,None,None,None,0.23,0.05,0.75,0.0,1.0,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,815,1.0,10,3.0,0.745,0.415,None,None,None,0.24,0.06,0.9,0.3,1.0,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,815,1.0,11,5.0,0.735,0.73,None,None,None,0.4,0.1,1.0,0.0,1.0,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
